frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,0.76,0.38181818181818183,0.5818181818181818,0.03636363636363636,0.0
0.04,0.5833333333333334,0.23076923076923078,0.7692307692307693,0.0,0.18741258741258746
0.08,0.21739130434782608,0.2857142857142857,0.7142857142857143,0.0,0.13246753246753254
0.12,0.22727272727272727,0.3333333333333333,0.6666666666666666,0.0,0.08484848484848487
0.16,0.09523809523809523,0.0,0.0,0.0,1.0
0.2,0.1,0.0,0.0,0.0,1.0
0.24,0.10526315789473684,0.0,0.0,0.0,1.0
0.28,0.1111111111111111,0.0,0.0,0.0,1.0
0.32,0.11764705882352941,0.0,0.0,0.0,1.0
0.36,0.125,0.0,0.0,0.0,1.0
0.4,0.13333333333333333,0.0,0.0,0.0,1.0
0.44,0.14285714285714285,0.0,0.0,0.0,1.0
0.48,0.15384615384615385,0.0,0.0,0.0,1.0
0.52,0.16666666666666666,0.0,0.0,0.0,1.0
0.56,0.18181818181818182,0.0,0.0,0.0,1.0
0.6,0.2,0.0,0.0,0.0,1.0
