frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,1.0,0.24369747899159663,0.7394957983193278,0.01680672268907563,0.0
0.04,0.2916666666666667,0.8148148148148148,0.18518518518518517,0.0,0.5711173358232183
0.08,0.08695652173913043,0.8333333333333334,0.16666666666666666,0.0,0.5896358543417367
0.12,0.09090909090909091,0.75,0.25,0.0,0.5063025210084033
0.16,0.07142857142857142,1.0,0.0,0.0,0.7563025210084033
0.2,0.05,0.0,0.0,0.0,1.0
0.24,0.05263157894736842,0.0,0.0,0.0,1.0
0.28,0.05555555555555555,0.0,0.0,0.0,1.0
0.32,0.058823529411764705,0.0,0.0,0.0,1.0
0.36,0.0,0.0,0.0,0.0,1.0
0.4,0.0,0.0,0.0,0.0,1.0
0.44,0.0,0.0,0.0,0.0,1.0
0.48,0.0,0.0,0.0,0.0,1.0
0.52,0.0,0.0,0.0,0.0,1.0
0.56,0.0,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
