frac_removed,gcc_frac,V,Lambda,Rect,motif_drift
0.0,0.75,0.3870967741935484,0.5806451612903226,0.03225806451612903,0.0
0.05,0.42105263157894735,0.3,0.65,0.05,0.08709677419354839
0.1,0.2777777777777778,0.2222222222222222,0.7777777777777778,0.0,0.19713261648745517
0.15,0.23529411764705882,0.2,0.8,0.0,0.21935483870967737
0.2,0.25,0.5,0.5,0.0,0.11290322580645164
0.25,0.13333333333333333,0.0,0.0,0.0,1.0
0.3,0.14285714285714285,0.0,0.0,0.0,1.0
0.35,0.15384615384615385,0.0,0.0,0.0,1.0
0.4,0.16666666666666666,0.0,0.0,0.0,1.0
0.45,0.18181818181818182,0.0,0.0,0.0,1.0
0.5,0.0,0.0,0.0,0.0,1.0
0.55,0.0,0.0,0.0,0.0,1.0
0.6,0.0,0.0,0.0,0.0,1.0
